Backup generated on: 02/24/2026 14:20:06
Relative Path | Category | Reason for Removal
----------------------------------------
\public\assets\vendor\libs\apex-charts\ | Charts | No usage detected in blade files
\public\assets\vendor\libs\fullcalendar\ | Calendar | Only 1 mention in checkout, likely unused
\public\assets\vendor\libs\jkanban\ | UI Components | No usage detected in blade files
\public\assets\vendor\libs\swiper\ | UI Components | No usage detected in blade files
\public\assets\vendor\libs\dropzone\ | UI Components | No usage detected in blade files
\public\assets\vendor\libs\sweetalert2\ | UI Components | No usage detected in blade files
\public\assets\vendor\libs\highlight\ | UI Components | No usage detected in blade files
\public\assets\vendor\libs\bootstrap-maxlength\ | UI Components | No usage detected in blade files
\public\assets\vendor\libs\bootstrap-select\ | UI Components | No usage detected in blade files
\public\assets\vendor\libs\bs-stepper\ | UI Components | No usage detected in blade files
\public\assets\vendor\libs\bootstrap-daterangepicker\ | UI Components | No usage detected in blade files
\public\assets\vendor\libs\formvalidation\ | Form Validation | No usage detected or replaced by other libraries
\public\assets\vendor\libs\jquery-timepicker\ | Form Validation | No usage detected or replaced by other libraries
\public\assets\vendor\libs\bootstrap-datepicker\ | Form Validation | No usage detected or replaced by other libraries
\public\assets\vendor\libs\rateyo\ | Form Validation | No usage detected or replaced by other libraries
\public\select2\ | Select2 | Only commented out in 1 location, not actually used
\public\assets\vendor\css\pages\page-pricing.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\page-icons.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\page-help-center.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\app-calendar.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\app-kanban.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\app-chat.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\app-email.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\cards-advance.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\advanced-wizard.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\page-faq.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\page-misc.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\page-auth.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\page-user-view.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\page-profile.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\app-invoice.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\app-invoice-print.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\ui-carousel.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\pages\wizard-ex-checkout.css | Page CSS | Page not implemented or not used
\public\assets\vendor\css\theme-raspberry.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\theme-raspberry-dark.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\theme-semi-dark.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\theme-semi-dark-dark.css | Theme Variants | Only theme-default is used in layouts
